pagina_pdf;codigo;descripcion;aec;ex_aec;regimen_importacion;regimen_exportacion;regimen_fisica;unidad
;;SECCIÓN I;;;;;;
;;ANIMALES VIVOS Y PRODUCTOS DEL REINO ANIMAL;;;;;;
;;Notas.;;;;;;
;;1. En esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales;;;;;;
;;jóvenes de ese género o de esa especie.;;;;;;
;;2. Salvo disposición en contrario, cualquier referencia en la Nomenclatura a productos secos o desecados alcanza también a los productos deshidratados,;;;;;;
;;evaporados o liofilizados.;;;;;;
;;Nota Complementaria.;;;;;;
;;1. En las subpartidas correspondientes a los Capítulos 1 y 3, las expresiones Reproductores de raza pura, para reproducción o cría industrial, para lidia y para;;;;;;
;;carrera, comprenden los animales considerados como tales por la autoridad nacional competente.;;;;;;
;;CAPÍTULO 1;;;;;;
;;ANIMALES VIVOS;;;;;;
;;Nota.;;;;;;
;;1. Este Capítulo comprende todos los animales vivos, excepto:;;;;;;
;;"a) los peces, los crustáceos, moluscos y demás invertebrados acuáticos, de las partidas 03.01, 03.06, 03.07 o 03.08;";;;;;;
;;"b) los cultivos de microorganismos y demás productos de la partida 30.02;";;;;;;
;;c) los animales de la partida 95.08.;;;;;;
;;Notas Complementarias:;;;;;;
;;1. En la subpartida 0102.2 la expresión “bovinos domésticos” comprende los animales de las especies “Bos primigenius Taurus (Bos Taurus)” y “Bos primigenius;;;;;;
;;Indicus (Bos Indicus)”.;;;;;;
;;2. En las subpartidas 0105.94.00.10 y 0105.99.00.10, la expresión “especímenes de interés genético”, comprende los animales considerados como tales por la;;;;;;
;;autoridad nacional con competencia en materia de agricultura.;;;;;;
;01.04;ANIMALES VIVOS DE LAS ESPECIES OVINA O CAPRINA.;;;;;;
;0104.10;- De la especie ovina:;;;;;;
;0104.10.1;- - Reproductores de raza pura:;;;;;;
;0104.10.11.00;De la especie ovina: - Reproductores de raza pura: - Preñadas o con cría al pie;0;;5,6;;;u
;0104.10.19.00;De la especie ovina: - Reproductores de raza pura: - Los demás;0;;5,6;;;u
;0104.10.90.00;De la especie ovina: - Los demás;2;;5,6;;;u
;0104.20;- De la especie caprina:;;;;;;
;0104.20.10.00;De la especie caprina: - Reproductores de raza pura;0;;5,6;;;u
;0104.20.90.00;De la especie caprina: - Los demás;2;;5,6;;;u
;01.05;GALLOS, GALLINAS, PATOS, GANSOS, PAVOS (GALLIPAVOS) Y PINTADAS, DE LAS ESPECIES DOMÉSTICAS, VIVOS.;Y;;;;;
;;PINTADAS, DE LAS ESPECIES DOMÉSTICAS, VIVOS.;;;;;;
;;0105.1 - De peso inferior o igual a 185 g:;;;;;;
;0105.11;- - Aves de la especie Gallus domesticus:;;;;;;
;0105.11.10.00;Aves de la especie Gallus domesticus : - De líneas puras o híbridas, para reproducción;0;;5,6;;;u
;0105.11.90.00;Aves de la especie Gallus domesticus : - Los demás;2;;5,6;;;u
;0105.12.00.00;Pavos (gallipavos);2;;5,6;;;u
;0105.13.00.00;Patos;2;;5,6;;;u
;0105.14.00.00;Gansos;2;;5,6;;;u
;0105.15.00.00;Pintadas;2;;5,6;;;u
;;0105.9 - Los demás:;;;;;;
;0105.94.00;- - Aves de la especie Gallus domesticus:;;;;;;
;0105.94.00.10;Aves de la especie Gallus domesticus: - Especímenes de interés genético;4;;5,6;;;u
;0105.94.00.90;Aves de la especie Gallus domesticus: - Los demás;4;;5,6;;;u
;0105.99.00;- - Los demás:;;;;;;
;0105.99.00.10;Los demás: - Especímenes de interés genético;4;;5,6;;;u
;0105.99.00.9;- - - Los demás:;;;;;;
;0105.99.00.91;Los demás: - Los demás: - Pavos;4;;5,6;;;u
;0105.99.00.92;Los demás: - Los demás: - Gallos de lidia;4;;5,6;;;u
;0105.99.00.93;Los demás: - Los demás: - Los demás;4;;5,6;;;u
;01.06;LOS DEMÁS ANIMALES VIVOS.;;;;;;
;;0106.1 - Mamíferos:;;;;;;
;0106.11.00.00;Primates;4;;5,10;;;u
;0106.12.00.00;"Ballenas, delfines y marsopas (mamíferos del orden Cetacea); manatíes y";y;;;;;
;;"dugonesodugongos(mamíferosdelorden Sirenia);otariosyfocas, leones";;;;;;
;;marinos y morsas (mamíferos del suborden Pinnipedia) 4 5,10 10 u;;;;;;
;0106.13.00.00;Camellos y demás camélidos (Camelidae );4;;5,10;10;;u
;0106.14.00.00;Conejos y liebres;4;;5,10;;;u
;0106.19.00.00;Los demás;4;;5,10;10;;u
;0106.20.00.00;Reptiles (incluidas las serpientes y tortugas de mar);4;;5,10;10;;u
;;0106.3 - Aves:;;;;;;
;0106.31.00.00;Aves de rapiña;4;;5,10;10;;u
;0106.32.00.00;Psitaciformes (incluidos los loros, guacamayos, cacatúas y demás;;;;;;
;;papagayos) 4 5,10 10 u;;;;;;
;0106.33;"- - Avestruces; emúes (Dromaius novaehollandiae):";;;;;;
;0106.33.10.00;"Avestruces; emúes (Dromaius novaehollandiae ): - Avestruces (Struthio camelus ), para reproducción";0;;5,10;;;u
;0106.33.90.00;"Avestruces; emúes (Dromaius novaehollandiae ): - Los demás";4;;5,10;;;u
;0106.39.00.00;Las demás;4;;5,10;10;;u
;;0106.4 - Insectos:;;;;;;
;0106.41.00;- - Abejas:;;;;;;
;0106.41.00.10;Abejas: - Especies destinadas a la apicultura;4;;5,10;;;u
;0106.41.00.90;Abejas: - Los demás;4;;5,10;;;u
;0106.49.00.00;Los demás;4;;5,10;;;u
;0106.90.00.00;Los demás;4;;5,10;10;;u
;;CAPÍTULO 2;;;;;;
;;CARNE Y DESPOJOS COMESTIBLES;;;;;;
;;Nota.;;;;;;
;;1. Este Capítulo no comprende:;;;;;;
;;"a) respecto de las partidas 02.01 a 02.08 y 02.10, los productos impropios para la alimentación humana;";;;;;;
;;"b) los insectos comestibles, sin vida (partida 04.10);";;;;;;
;;"c) las tripas, vejigas y estómagos de animales (partida 05.04), ni la sangre animal (partidas 05.11 o 30.02);";;;;;;
;;d) las grasas animales, excepto los productos de la partida 02.09 (Capítulo 15).;;;;;;
;02.01;CARNE DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA.;O;;;;;
;;REFRIGERADA.;;;;;;
;0201.10.00.00;En canales o medias canales;10;20E;3,5,6;;;kg
;0201.20;- Los demás cortes (trozos) sin deshuesar:;;;;;;
;0201.20.10.00;Los demás cortes (trozos) sin deshuesar: - Cuartos delanteros;10;20E;3,5,6;;;kg
;0201.20.20.00;Los demás cortes (trozos) sin deshuesar: - Cuartos traseros;10;20E;3,5,6;;;kg
;0201.20.90.00;Los demás cortes (trozos) sin deshuesar: - Los demás;10;20E;3,5,6;;;kg
;0201.30.00.00;Deshuesada;12;;3,5,6;;;kg
;02.02;CARNE DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA.;;;;;;
;0202.10.00.00;En canales o medias canales;10;;3,5,6;;;kg
;0202.20;- Los demás cortes (trozos) sin deshuesar:;;;;;;
;0202.20.10.00;Los demás cortes (trozos) sin deshuesar: - Cuartos delanteros;10;;3,5,6;;;kg
;0202.20.20.00;Los demás cortes (trozos) sin deshuesar: - Cuartos traseros;10;;3,5,6;;;kg
;0202.20.90.00;Los demás cortes (trozos) sin deshuesar: - Los demás;10;;3,5,6;;;kg
;0202.30.00.00;Deshuesada;12;;3,5,6;;;kg
;02.03;CARNE DE ANIMALES DE LA ESPECIE PORCINA, FRESCA, REFRIGERADA O CONGELADA.;;;;;;
;;O CONGELADA.;;;;;;
;;0203.1 - Fresca o refrigerada:;;;;;;
;0203.11.00.00;En canales o medias canales;10;;3,5,6;;;kg
;0203.12.00.00;Piernas, paletas, y sus trozos, sin deshuesar;10;;3,5,6;;;kg
;0203.19.00.00;Las demás;10;;3,5,6;;;kg
;;0203.2 - Congelada:;;;;;;
;0203.21.00.00;En canales o medias canales;10;;3,5,6;;;kg
;0203.22.00.00;Piernas, paletas, y sus trozos, sin deshuesar;10;;3,5,6;;;kg
;0203.29.00.00;Las demás;10;;3,5,6;;;kg
;02.04;CARNE DE ANIMALES DE LAS ESPECIES OVINA O CAPRINA, FRESCA, REFRIGERADA O CONGELADA.;;;;;;
;;REFRIGERADA O CONGELADA.;;;;;;
;0204.10.00.00;Canales o medias canales de cordero, frescas o refrigeradas;10;;3,5,6;;;kg
;;0204.2 - Las demás carnes de animales de la especie ovina, frescas o refrigeradas:;;;;;;
;0204.21.00.00;En canales o medias canales;10;20E;3,5,6;;;kg
;0204.22.00.00;Los demás cortes (trozos) sin deshuesar;10;;3,5,6;;;kg
;0204.23.00.00;Deshuesadas;10;;3,5,6;;;kg
;0204.30.00.00;Canales o medias canales de cordero, congeladas;10;;3,5,6;;;kg
;;0204.4 - Las demás carnes de animales de la especie ovina, congeladas:;;;;;;
;0204.41.00.00;En canales o medias canales;10;;3,5,6;;;kg
;0204.42.00.00;Los demás cortes (trozos) sin deshuesar;10;;3,5,6;;;kg
;0204.43.00.00;Deshuesadas;10;;3,5,6;;;kg
;0204.50.00.00;Carne de animales de la especie caprina;10;;3,5,6;;;kg
;0205.00.00.00;CARNE DE ANIMALES DE LAS ESPECIES CABALLAR, ASNAL O MULAR,;;;;;;
;;FRESCA, REFRIGERADA O CONGELADA. 10 3,5,6 kg;;;;;;
;02.05;CARNE DE ANIMALES DE LAS ESPECIES CABALLAR, ASNAL O MULAR FRESCA, REFRIGERADA O CONGELADA. 10 3,5,6 kg;;;;;;
;02.06;DESPOJOS COMESTIBLES DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, CABALLAR, ASNAL O MULAR, FRESCOS, REFRIGERADOS O CONGELADOS.;;;;;;
;;PORCINA, OVINA, CAPRINA, CABALLAR, ASNAL O MULAR, FRESCOS,;;;;;;
;;REFRIGERADOS O CONGELADOS.;;;;;;
;0206.10.00.00;De la especie bovina, frescos o refrigerados;10;;3,5,6;;;kg
;;0206.2 - De la especie bovina, congelados:;;;;;;
