pagina_pdf;codigo;descripcion;aec;ex_aec;regimen_importacion;regimen_exportacion;regimen_fisica;unidad
7;0101.21.00.10;- - - Para carreras;0;;5,6;;;u
7;0101.21.00.90;- - - Los demás;0;;5,6;;;u
7;0101.29.00;- - Los demás:;;;;;;
7;0101.29.00.10;- - - Para carreras;2;;5,6;;;u
7;0101.29.00.90;- - - Los demás;2;;5,6;;;u
7;0101.30.00.00;- Asnos;4;;5,6;;;u
7;0101.90.00.00;- Los demás;4;;5,6;;;u
7;01.02;ANIMALES VIVOS DE LA ESPECIE BOVINA.;;;;;;
7;;0102.2 - Bovinos domésticos:;;;;;;
7;0102.21;- - Reproductores de raza pura:;;;;;;
7;0102.21.10.00;- - - Preñadas o con cría al pie;0;;5,6;;;u
7;0102.21.90;- - - Los demás:;;;;;;
7;0102.21.90.10;- - - - Toros de lidia;0;;5,6;;;u
7;0102.21.90.90;- - - - Los demás;0;;5,6;;;u
7;0102.29;- - Los demás:;;;;;;
7;0102.29.1;- - - Para reproducción:;;;;;;
7;0102.29.11.00;- - - - Preñadas o con cría al pie;2;;5,6;;;u
7;0102.29.19;- - - - Los demás:;;;;;;
7;0102.29.19.10;- - - - - Toros de lidia;2;;5,6;;;u
7;0102.29.19.90;- - - - - Los demás;2;;5,6;;;u
7;0102.29.90;- - - Los demás:;;;;;;
7;0102.29.90.10;- - - - Toros de lidia;2;;5,6;;;u
7;0102.29.90.90;- - - - Los demás;2;;5,6;;;u
7;;0102.3 - Búfalos:;;;;;;
7;0102.31;- - Reproductores de raza pura:;;;;;;
7;0102.31.10.00;- - - Preñadas o con cría al pie;0;;5,6;;;u
7;0102.31.90.00;- - - Los demás;0;;5,6;;;u
7;0102.39;- - Los demás:;;;;;;
7;0102.39.1;- - - Para reproducción:;;;;;;
7;0102.39.11.00;- - - - Preñadas o con cría al pie;2;;5,6;;;u
7;0102.39.19.00;- - - - Los demás;2;;5,6;;;u
7;0102.39.90.00;- - - Los demás;2;;5,6;;;u
7;0102.90.00.00;- Los demás;0;;5,6;;;u
7;01.03;ANIMALES VIVOS DE LA ESPECIE PORCINA.;;;;;;
7;0103.10.00.00;- Reproductores de raza pura;0;;5,6;;;u
7;;0103.9 - Los demás:;;;;;;
7;0103.91.00.00;- - De peso inferior a 50 kg;2;10E;5,6;;;u
7;0103.92.00.00;- - De peso superior o igual a 50 kg;2;10E;5,6;;;u
7;01.04;ANIMALES VIVOS DE LAS ESPECIES OVINA O CAPRINA.;;;;;;
7;0104.10;- De la especie ovina:;;;;;;
7;0104.10.1;- - Reproductores de raza pura:;;;;;;
7;0104.10.11.00;- - - Preñadas o con cría al pie;0;;5,6;;;u
7;0104.10.19.00;- - - Los demás;0;;5,6;;;u
7;0104.10.90.00;- - Los demás;2;;5,6;;;u
7;0104.20;- De la especie caprina:;;;;;;
8;0104.20.10.00;- - Reproductores de raza pura;0;;5,6;;;u
8;0104.20.90.00;- - Los demás;2;;5,6;;;u
8;01.05;GALLOS, GALLINAS, PATOS, GANSOS, PAVOS (GALLIPAVOS);Y;;;;;
8;;PINTADAS, DE LAS ESPECIES DOMÉSTICAS, VIVOS.;;;;;;
8;;0105.1 - De peso inferior o igual a 185 g:;;;;;;
8;0105.11;- - Aves de la especie Gallus domesticus:;;;;;;
8;0105.11.10.00;- - - De líneas puras o híbridas, para reproducción;0;;5,6;;;u
8;0105.11.90.00;- - - Los demás;2;;5,6;;;u
8;0105.12.00.00;- - Pavos (gallipavos);2;;5,6;;;u
8;0105.13.00.00;- - Patos;2;;5,6;;;u
8;0105.14.00.00;- - Gansos;2;;5,6;;;u
8;0105.15.00.00;- - Pintadas;2;;5,6;;;u
8;;0105.9 - Los demás:;;;;;;
8;0105.94.00;- - Aves de la especie Gallus domesticus:;;;;;;
8;0105.94.00.10;- - - Especímenes de interés genético;4;;5,6;;;u
8;0105.94.00.90;- - - Los demás;4;;5,6;;;u
8;0105.99.00;- - Los demás:;;;;;;
8;0105.99.00.10;- - - Especímenes de interés genético;4;;5,6;;;u
8;0105.99.00.9;- - - Los demás:;;;;;;
8;0105.99.00.91;- - - - Pavos;4;;5,6;;;u
8;0105.99.00.92;- - - - Gallos de lidia;4;;5,6;;;u
8;0105.99.00.93;- - - - Los demás;4;;5,6;;;u
8;01.06;LOS DEMÁS ANIMALES VIVOS.;;;;;;
8;;0106.1 - Mamíferos:;;;;;;
8;0106.11.00.00;- - Primates;4;;5,10;;;u
8;0106.12.00.00;"- - Ballenas, delfines y marsopas (mamíferos del orden Cetacea); manatíes";y;;;;;
8;;"dugonesodugongos(mamíferosdelordenSirenia);otariosyfocas,leones";;;;;;
8;;marinos y morsas (mamíferos del suborden Pinnipedia) 4 5,10 10 u;;;;;;
8;0106.13.00.00;- - Camellos y demás camélidos (Camelidae);4;;5,10;10;;u
8;0106.14.00.00;- - Conejos y liebres;4;;5,10;;;u
8;0106.19.00.00;- - Los demás;4;;5,10;10;;u
8;0106.20.00.00;- Reptiles (incluidas las serpientes y tortugas de mar);4;;5,10;10;;u
8;;0106.3 - Aves:;;;;;;
8;0106.31.00.00;- - Aves de rapiña;4;;5,10;10;;u
8;0106.32.00.00;- - Psitaciformes (incluidos los loros, guacamayos, cacatúas y demás;;;;;;
8;;papagayos) 4 5,10 10 u;;;;;;
8;0106.33;"- - Avestruces; emúes (Dromaius novaehollandiae):";;;;;;
8;0106.33.10.00;- - - Avestruces (Struthio camelus), para reproducción;0;;5,10;;;u
8;0106.33.90.00;- - - Los demás;4;;5,10;;;u
8;0106.39.00.00;- - Las demás;4;;5,10;10;;u
8;;0106.4 - Insectos:;;;;;;
8;0106.41.00;- - Abejas:;;;;;;
8;0106.41.00.10;- - - Especies destinadas a la apicultura;4;;5,10;;;u
8;0106.41.00.90;- - - Los demás;4;;5,10;;;u
8;0106.49.00.00;- - Los demás;4;;5,10;;;u
8;0106.90.00.00;- Los demás;4;;5,10;10;;u
8;;CAPÍTULO 2;;;;;;
8;;CARNE Y DESPOJOS COMESTIBLES;;;;;;
8;;Nota.;;;;;;
8;;1. Este Capítulo no comprende:;;;;;;
8;;"a) respecto de las partidas 02.01 a 02.08 y 02.10, los productos impropios para la alimentación humana;";;;;;;
8;;"b) los insectos comestibles, sin vida (partida 04.10);";;;;;;
8;;"c) las tripas, vejigas y estómagos de animales (partida 05.04), ni la sangre animal (partidas 05.11 o 30.02);";;;;;;
8;;d) las grasas animales, excepto los productos de la partida 02.09 (Capítulo 15).;;;;;;
8;02.01;CARNE DE ANIMALES DE LA ESPECIE BOVINA, FRESCA;O;;;;;
8;;REFRIGERADA.;;;;;;
8;0201.10.00.00;- En canales o medias canales;10;20E;3,5,6;;;kg
8;0201.20;- Los demás cortes (trozos) sin deshuesar:;;;;;;
